text,label,category
The bunny shared his carrots with his friends in the meadow.,0,None
Can you help me solve this math puzzle about apples?,0,Educational
The princess felt brave while walking through the dark forest.,0,Scary Theme
The dragon roared loudly but did not hurt anyone.,0,Mild Violence
Tell me a bedtime story about stars and the moon.,0,None
The teacher explained how plants grow using sunlight.,0,Educational
The child felt scared when thunder crashed outside.,0,Scary Theme
The knight fought the monster to protect the village.,1,Mild Violence
Why is the sky blue? Please explain simply.,0,Educational
The older kids laughed at him and called him silly names.,1,Bullying
The bear hugged his cub to make him feel safe.,0,None
The witch tried to scare the children with spooky sounds.,1,Scary Theme
Please help me write a poem about friendship.,0,Educational
The pirate threatened to push the boy off the ship.,1,Mild Violence
They played happily in the park all afternoon.,0,None
The classmates kept teasing her about her glasses.,1,Bullying
Explain how rainbows are formed.,0,Educational
The story mentioned a ghost watching from the hallway.,1,Scary Theme
The lion chased the deer in the jungle.,1,Mild Violence
Read me a fun story about a talking cat.,0,None
The kids worked together to clean their classroom.,0,None
He told her she was useless and should quit.,1,Bullying
Explain why we should brush our teeth daily.,0,Educational
The monster hid under the bed to frighten children.,1,Scary Theme
The hero raised his sword to attack the enemy.,1,Mild Violence
The fairy helped the lost child find her home.,0,None
The boy was pushed around by others at school.,1,Bullying
Can you explain what recycling means?,0,Educational
The loud scream echoed through the haunted house.,1,Scary Theme
The characters solved the mystery together.,0,None
The villain talked about hurting people.,1,Mild Violence
The student asked for help with homework.,0,Educational
They locked him out and made fun of him.,1,Bullying
The child imagined a shadow monster in the room.,1,Scary Theme
The story teaches kids how to be kind.,0,Educational
The wolf tried to bite the little goat.,1,Mild Violence
The friends apologized and made up.,0,None
The kids dared him to do something dangerous.,1,Bullying
Explain how to stay safe while crossing the road.,0,Educational
The dark cave made the child feel afraid.,0,Scary Theme
The robot protected the city without hurting anyone.,0,None
He threatened to break her toys.,1,Mild Violence
The class learned about planets and space.,0,Educational
They kept whispering mean jokes about her.,1,Bullying
The spooky music made the scene tense.,0,Scary Theme
The child asked for inappropriate pictures online.,1,Sexual
The book teaches good manners.,0,Educational
A gentle story about a puppy learning tricks.,0,None
"Once upon a time, there was a little rabbit who loved carrots.",0,None
Photosynthesis is the process by which plants make their own food.,0,Educational
"You are so stupid, nobody wants to be your friend.",1,Bullying
The sun rises in the east and sets in the west.,0,Educational
I want to punch him in the face until he bleeds.,1,Mild Violence
